item_name,item_price
"Nut - Walnut, Pieces",140
"Croissant, Raw - Mini",1832
Bagelers,165
"Lid - Translucent, 3.5 And 6 Oz",1002
"Beef - Tongue, Cooked",866
Lotus Rootlets - Canned,1958
Hold Up Tool Storage Rack,173
Sprouts - Peppercress,807
Soup Campbells Beef With Veg,1242
Blueberries - Frozen,1251
"Brownies - Two Bite, Chocolate",603
Venison - Racks Frenched,115
"Cheese - Boursin, Garlic / Herbs",763
"Veal - Chops, Split, Frenched",1897
Lid - 16 Oz And 32 Oz,692
Wine - Acient Coast Caberne,394
Smoked Paprika,1875
Syrup - Monin - Passion Fruit,840
Yucca,223
Haggis,663
Wine - Duboeuf Beaujolais,1939
Venison - Striploin,1659
Wine - Jaboulet Cotes Du Rhone,1781
Vinegar - Red Wine,1522
Flour - Bread,1773
"Nut - Almond, Blanched, Sliced",730
"Pepper - Green, Chili",959
Toothpick Frilled,1762
"Pasta - Gnocchi, Potato",380
Sun - Dried Tomatoes,402
Pasta - Cheese / Spinach Bauletti,1178
Towel Dispenser,1946
Shrimp - 100 / 200 Cold Water,1298
Sambuca - Opal Nera,1886
Urban Zen Drinks,1515
"Hickory Smoke, Liquid",1901
Versatainer Nc - 888,1382
"Juice - Clamato, 341 Ml",1599
Steel Wool S.o.s,905
Spice - Montreal Steak Spice,712
"Beans - Turtle, Black, Dry",1011
Sour Puss Sour Apple,207
"Cake Circle, Foil, Scallop",1092
Puff Pastry - Slab,798
Kahlua,360
Pie Shells 10,181
Cake - Pancake,1929
Eel - Smoked,1440
Crackers - Melba Toast,1095
Potatoes - Fingerling 4 Oz,1730
"Wine - Red, Concha Y Toro",1243
Swiss Chard,970
Olive - Spread Tapenade,1245
Chocolate Bar - Coffee Crisp,246
"Brocolinni - Gaylan, Chinese",1687
"Lid - Translucent, 3.5 And 6 Oz",687
Kiwi Gold Zespri,1451
"Bag - Bread, White, Plain",352
Garam Masala Powder,1136
Coffee Decaf Colombian,712
Coconut Milk - Unsweetened,1295
Pastry - Mini French Pastries,973
The Pop Shoppe - Root Beer,249
Water - Tonic,188
Island Oasis - Banana Daiquiri,738
Lettuce - Escarole,1566
Turnip - Mini,645
Sauce - Plum,602
Beer - Creemore,1466
Baking Powder,1002
Parsley - Fresh,1441
"Oil - Food, Lacquer Spray",582
"Apple - Delicious, Red",596
"Iced Tea - Lemon, 460 Ml",414
"Pork - Chop, Frenched",1281
Artichoke - Fresh,1110
Cookie Double Choco,1251
Cake - Lemon Chiffon,1155
Gatorade - Orange,475
Soho Lychee Liqueur,736
Sobe - Cranberry Grapefruit,542
Pepper - Chili Powder,534
